code,id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,elo,fotmob_name
3,1,Arsenal,ARS,5,1305,1355,1340,1390,1270,1320,1,2047,Arsenal
7,2,Aston Villa,AVL,3,1135,1230,1120,1210,1150,1250,2,1890,Aston Villa
90,3,Burnley,BUR,2,975,1045,910,1050,1040,1040,43,1664,Burnley
91,4,Bournemouth,BOU,3,1150,1235,1060,1230,1240,1240,127,1847,AFC Bournemouth
94,5,Brentford,BRE,3,1135,1215,1120,1160,1150,1270,130,1833,Brentford
36,6,Brighton,BHA,4,1170,1250,1140,1220,1200,1280,131,1865,Brighton & Hove Albion
8,7,Chelsea,CHE,3,1190,1195,1130,1140,1250,1250,4,1840,Chelsea
31,8,Crystal Palace,CRY,3,1160,1185,1150,1200,1170,1170,6,1805,Crystal Palace
11,9,Everton,EVE,3,1135,1160,1130,1150,1140,1170,7,1820,Everton
54,10,Fulham,FUL,3,1105,1200,1090,1170,1120,1230,34,1811,Fulham
2,11,Leeds,LEE,3,1100,1205,1050,1160,1150,1250,9,1792,Leeds United
14,12,Liverpool,LIV,4,1180,1250,1120,1200,1240,1300,10,1932,Liverpool
43,13,Man City,MCI,4,1265,1355,1220,1310,1310,1400,11,1969,Manchester City
1,14,Man Utd,MUN,4,1180,1250,1120,1190,1240,1310,12,1881,Manchester United
4,15,Newcastle,NEW,3,1120,1205,1130,1120,1110,1290,23,1824,Newcastle United
17,16,Nott'm Forest,NFO,3,1125,1165,1130,1160,1120,1170,15,1824,Nottingham Forest
56,17,Sunderland,SUN,3,1055,1150,1070,1170,1040,1130,29,1699,Sunderland
6,18,Spurs,TOT,3,1120,1120,1090,1090,1150,1150,21,1757,Tottenham Hotspur
21,19,West Ham,WHU,3,1095,1130,1060,1080,1130,1180,25,1768,West Ham United
39,20,Wolves,WOL,2,975,1060,950,1050,1000,1070,38,1677,Wolverhampton Wanderers
